task_id,case_id,task_description,assigned_to,due_date,completed
397,1090,Event go spend break.,Jason Pearson,2025-07-11,No
398,1086,Spring item environment game notice as yeah.,Joshua Baker,2025-07-27,No
399,1153,People price thousand age building charge purpose.,Guy Ramos,2025-08-10,No
400,1000,Live agree service better sport however unit prevent.,Jessica Conley,2025-07-31,Yes
401,1097,Including organization career enter knowledge.,Stephanie Ray,2025-06-28,Yes
402,1041,Guess edge debate there.,Amy Wilson,2025-05-22,Yes
403,1014,Expect beyond difficult wrong trade share.,Daniel Jones,2025-06-05,No
404,1185,Hit we team floor.,Jordan Holland,2025-07-15,Yes
405,1150,Civil smile benefit adult rest big condition.,Ryan Melendez,2025-06-21,Yes
406,1069,Decide early believe off.,John Bond,2025-08-18,No
407,1068,Do drive better audience.,Joshua Baker,2025-07-28,No
408,1024,Talk film street ever.,Patrick Patton,2025-07-17,No
409,1011,Magazine point field cup.,Janice Paul,2025-08-17,No
410,1059,Food hard investment upon everyone however.,Julie Holt,2025-08-18,Yes
411,1118,Son force couple animal.,Helen Smith,2025-05-23,Yes
412,1051,Same feeling beautiful if research great.,John Higgins,2025-05-25,No
413,1012,Rest through important investment from manager company return.,Jonathan Powell,2025-07-30,No
414,1057,Much north fear career city mouth.,Ryan Garcia,2025-07-12,No
415,1109,Data start book me.,Kimberly Johnson,2025-07-29,Yes
416,1174,Suffer great executive today mother way.,Valerie Fletcher,2025-08-18,No
417,1080,National very likely heart.,Antonio Davis,2025-07-26,Yes
418,1120,First over player with ago.,Melinda Bowers,2025-05-24,No
419,1148,Draw leader bank human.,Brian Deleon,2025-06-21,No
420,1056,Beat newspaper technology stuff.,Albert Randall,2025-05-24,No
421,1079,Trouble movie yes leader.,Devin Velasquez,2025-07-15,Yes
422,1190,Trial company interesting nice.,Nicholas Scott,2025-06-07,No
423,1099,Follow imagine visit popular.,Leah Lucas,2025-07-28,No
424,1101,With more political hard happy party nor.,Neil Wright,2025-07-06,Yes
425,1108,Yard would because on usually real nothing.,Randall Anderson,2025-07-24,Yes
426,1157,Only sea offer poor fish smile must either.,Guy Ramos,2025-06-04,No
427,1088,Responsibility simply way catch nice.,Andrea Gonzalez,2025-08-15,No
428,1105,Always prepare TV.,Megan Rios,2025-06-11,No
429,1117,Where truth data because until behind.,Darren Clark,2025-06-12,No
430,1193,Be himself board season short eat.,Dwayne Klein,2025-06-09,No
431,1186,Use American after song clearly partner.,Samuel Simon,2025-05-27,Yes
432,1137,President close agreement two beyond final.,Paul White,2025-07-20,Yes
433,1034,Year room study article easy stage.,Carlos Barnes,2025-05-29,Yes
434,1093,Must manager even building treatment age between.,Anna Snyder,2025-07-11,Yes
435,1077,Look up enter character someone share.,Donna Johnson,2025-08-06,Yes
436,1118,Artist set ok industry.,Ariel Stephens,2025-07-19,No
437,1073,Nearly size tax interview.,Faith Reid,2025-05-25,Yes
438,1023,According friend wife case.,Jennifer Brooks,2025-07-21,No
439,1115,Marriage thought technology pass rise enter father.,Sonya Horton,2025-06-03,No
440,1122,Never relate day front firm.,Steven James,2025-06-05,Yes
441,1011,Region memory eye wear partner town no color.,Amy Wilson,2025-06-27,Yes
442,1074,Avoid able seat throughout break place call.,Gregory Davidson,2025-08-13,Yes
443,1123,None stuff value marriage.,Anna Snyder,2025-08-09,Yes
444,1123,Baby stop act beautiful exactly each bit.,Tammie Moore,2025-06-01,Yes
445,1011,Recently half trouble likely animal want despite.,Gregory Davidson,2025-07-24,No
446,1151,Above above though where last organization collection decision.,Anna Thompson MD,2025-08-01,No
447,1126,Try provide opportunity middle never follow.,Andrew Knight,2025-05-25,No
448,1052,Instead what expect structure although sometimes leg.,Kristen Eaton,2025-07-22,Yes
449,1186,Make clear rock own about anything.,Jerry Nelson,2025-08-13,Yes
450,1037,Past write lawyer leader shake PM last prove.,Cindy Ellis,2025-06-25,No
451,1195,Cell responsibility sister.,Candace George,2025-06-25,Yes
452,1147,Couple art report want trip strategy dinner.,Kevin Murray,2025-05-25,Yes
453,1193,Prepare somebody ask rest order.,Nicole Garner,2025-06-26,No
454,1195,Court usually key southern.,Donna Johnson,2025-07-29,Yes
455,1052,Party second approach increase treatment carry.,Kristin Smith,2025-07-02,Yes
456,1040,World better add certain month.,Carlos Barnes,2025-08-10,No
457,1125,Next smile finish attack support use decade poor.,Helen Smith,2025-06-21,No
458,1107,Level one would religious try successful can garden.,John Bond,2025-07-06,No
459,1133,Then list finish letter speak Republican down.,Peter Hall,2025-07-08,No
460,1013,Daughter service us forget mean step himself civil.,Ricky Hill,2025-07-01,Yes
461,1125,Control outside magazine tax always.,Christine Green,2025-07-06,Yes
462,1192,Responsibility service commercial service American.,Nicole Garner,2025-05-30,Yes
463,1190,Cut window recent condition some low effort.,Leah Lucas,2025-07-04,Yes
464,1009,Yourself power economy.,Tiffany Mccormick,2025-07-11,No
465,1091,Thing head spend employee.,Rachel Johnson,2025-06-07,No
466,1098,Her least current teacher seek assume third.,Hailey Horn,2025-06-29,Yes
467,1174,Not goal professor tonight responsibility any.,Devin Velasquez,2025-08-03,Yes
468,1156,Week audience space.,William Hendrix,2025-07-11,No
469,1145,Suffer cause recognize production man home time.,Kimberly Meyer,2025-06-03,No
470,1024,Price also produce important town end.,Valerie Fletcher,2025-07-24,No
471,1187,Laugh since floor anyone edge many speech.,Morgan Stephens,2025-08-12,Yes
472,1085,Mr open mother.,Paul White,2025-05-24,Yes
473,1137,Positive focus establish speech.,Jason Pearson,2025-05-28,Yes
474,1127,Help out dog sport five plant accept listen.,Thomas Bennett,2025-06-05,Yes
475,1094,Boy stand tough ever.,Paul White,2025-06-09,Yes
476,1148,Home contain culture spring free upon.,Natasha Anderson,2025-08-11,No
477,1162,Cold what system small.,Rhonda Thompson,2025-08-16,No
478,1042,Congress represent where explain account business.,Misty Hayden,2025-06-26,Yes
479,1199,Past audience drug moment debate various your woman.,Michael Ali,2025-07-09,Yes
480,1056,Choose catch authority result enter.,Cheyenne Malone,2025-08-05,Yes
481,1164,Together man authority thousand.,Peter Hall,2025-07-12,No
482,1152,Rest work next carry.,Brian Deleon,2025-07-12,No
483,1020,Return quality bank loss must explain good.,Brian Deleon,2025-05-24,No
484,1094,Mention feeling agree cover enjoy woman modern.,John Hill,2025-07-15,Yes
485,1097,Cultural factor example hot hit them.,Theresa Rivera,2025-05-30,Yes
486,1058,Smile road clear the early say.,John Mckee,2025-07-18,Yes
487,1168,Green subject scientist eye.,Riley Whitaker,2025-07-07,No
488,1148,Question such plan piece.,Mackenzie Thomas,2025-07-27,Yes
489,1017,At sister forward beautiful well season.,Victoria Huber,2025-07-19,No
490,1177,This beyond scientist nature nice decade cost.,William Kelly,2025-07-20,No
491,1004,Marriage he read computer measure.,Morgan Stephens,2025-08-13,Yes
492,1051,Decade return second before action product a consumer.,Victoria Huber,2025-07-09,Yes
493,1171,Nearly practice wish way upon eat.,Jack Garner,2025-07-28,No
494,1127,Discover discussion effort society eat high nature.,Patrick Martinez,2025-08-12,Yes
495,1072,Herself clearly national act crime main Congress partner.,Jessica Rice,2025-06-26,Yes
496,1063,Society significant president.,Amy Wilson,2025-08-07,Yes
497,1170,Identify long color one.,Nicole Norton,2025-07-16,Yes
498,1136,Method early fear well church.,Samuel York,2025-08-03,Yes
499,1130,Civil dream today there.,David Miller,2025-06-14,No
500,1036,Film back firm decide give.,Michael Miller,2025-06-15,No
